RepeaterID,trustee,operator,output_freq,offset,offset_freq,pl,dcs,Club,Descr,lng,lat,City,State,ZIP,range,Notes,Tags,rpt_type,LastUpdate,Country,rxheight,rxgain,txheight,txgain,txpower
"5369","W5RV","",441.9,"+",5,110.9,0,"","",-97.154722,32.880833,"Colleyville","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"15976","KA0BRN","KA0BRN",443.225,"+",5,110.9,0,"","DFW Remote Base Association",-97.229910492897,32.8758073053847,"North Richland Hills","Texas","",20,"",""," ","2010-11-01 17:12:05","USA",50,11.5,50,11.5,100
"12727","W5FA","",145.43,"-",-0.6,0,0,"","",-97.2756958007812,32.8726670543618,"Richland Hills","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"26092","N5ERS","",927.875,"-",-25,103.5,0,"","",-97.0544242859,32.981380144,"Flower Mound","TX","",20,"",""," ","2010-01-06 15:51:19","USA",300,7,300,7,100
"26093","N5ERS","",145.23,"-",-0.6,110.9,0,"","",-97.054424,32.98138,"Flower Mound","TX","",20,"",""," ","2010-01-06 19:52:14","USA",0,0,0,0,0
"12645","KA1CWM","",145.25,"-",-0.6,107.2,0,"","",-97.014722,32.954444,"Coppell","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"26050","K5FR","KA5R",442.75,"5",447.75,110.9,0,"ALLIANCE AMATEUR RADIO CLUB","OPEN CLUB REPEATER",-97.0916748047,33.0086634946,"TROPHY CLUB","TX","76262",35,"","","P","2010-01-07 06:36:59","USA",180,9,180,9,250
"5418","K5XG","K5XG",443.825,"+",5,110.9,0,"","",-96.9173151254654,33.2103983600977,"Dallas","TX","",60,"",""," ","2011-04-27 23:03:49","USA",0,0,0,0,0
"12616","K5ZYZ","",146.61,"-",-0.6,110.9,0,"","",-96.89,32.953611,"Carrollton","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"15973","N5UA","N5UA/R",444.675,"+",5,110.9,0,"N5UA","Echolink Node 257890",-96.7054710409,32.9945549522,"Richardson","Texas","75080",50,"",""," ","2010-01-05 15:48:30","USA",300,9,300,9,110
"5778","N5EOC","",444.7,"+",5,110.9,0,"","",-97.133889,32.941111,"Southlake","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5777","N5LLH","",443.075,"+",5,0,0,"","",-97.133889,32.941111,"Southlake","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5776","N1OZ","",442.175,"+",5,0,0,"","",-97.133889,32.941111,"Southlake","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5578","NT5J","",443.175,"+",5,100,0,"","",-97.251389,32.934444,"Keller","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5579","N5ABV","",443.3,"+",5,0,0,"","",-97.251389,32.934444,"Keller","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12868","W5FKN","",145.17,"-",-0.6,110.9,0,"","",-97.10073,33.131622,"Corinth","TX","76210",30,"",""," ","2010-01-04 10:07:10","USA",380,3,380,3,80
"5275","WB5NDJ","",443.55,"+",5,110.9,0,"","",-97.183056,33.121111,"Argyle","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5518","K9MK","",444.325,"+",5,0,0,"","",-97.3475,32.974722,"Haslet","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12565","WB5IDM","",147.16,"+",0.6,110.9,0,"","",-97.536667,32.8925,"Azle","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"26094","WB5IDM","",927.2375,"-",-25,110.9,0,"","",-97.5455474854,32.8947230492,"Azle","TX","",20,"",""," ","2010-01-06 22:20:27","USA",0,0,0,0,0
"5715","WD5M","",446.05," ",0,110.9,0,"","",-97.471667,33.053333,"Rhome","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"13096","W0BOD","",145.25,"-",-0.6,103.5,0,"","",-97.796944,32.759167,"Weatherford","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"13098","W5URH","",147.04,"+",0.6,110.9,0,"","",-97.796944,32.759167,"Weatherford","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"13097","KG5CW","",146.9,"-",-0.6,110.9,0,"","",-97.796944,32.759167,"Weatherford","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"16620","K5RNB","",145.26,"-",-0.6,100,0,"Patrick Parks","",-97.065556,33.328333,"Aubrey","TX","",50,"",""," ","2013-01-11 14:13:41","USA",930,6,930,6,90
"12678","W5NGU","",146.92,"-",-0.6,110.9,0,"","",-97.1276807785034,33.2294263455687,"Denton","TX","",30,"",""," ","2012-07-03 06:41:37","USA",250,0,250,0,90
"12592","K5JEJ","",146.98,"-",-0.6,0,0,"","",-97.565,33.078611,"Boyd","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5324","W5OYS","",444.825,"+",5,110.9,0,"","",-97.565,33.078611,"Boyd","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5599","W5FKN","",442.925,"+",5,110.9,0,"","",-97.391116,33.362734,"Slidell","TX","",20,"","","D","2009-12-27 15:57:23","USA",0,0,0,0,0
"12676","W5FB","",146.78,"-",-0.6,131.8,0,"","",-97.585833,33.234167,"Decatur","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5427","KA5PQK","",444.4,"+",5,156.7,0,"","",-97.585833,33.234167,"Decatur","TX","",40,"",""," ","2010-09-18 16:05:31","USA",0,0,0,0,0
"12949","KJ5HO","",146.62,"-",-0.6,131.8,0,"","",-97.686944,33.15,"Paradise","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5688","KJ5HO","",441.925,"+",5,173.8,0,"","",-97.686944,33.15,"Paradise","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"23257","WD5U","WD5U",145.49,"-",-0.6,85.4,0,"","",-97.4124197957,33.4852900961,"Rosston","TX","",60,"",""," ","2010-01-06 15:22:25","USA",1500,6,1500,6,50
"15998","N6LXX","N6LXX",443.7375,"+",5,141.3,0,"N6LXX / SIX-SHOOTERS","",-97.4124444444,33.4848611111,"Rosston","TX","76238",60,"",""," ","2010-01-05 13:22:41","Cooke",1500,6,1500,6,80
"12935","N5VAV","",147.36,"+",0.6,110.9,0,"","",-97.7261352539062,33.7711567283291,"Nocona","TX","",30,"",""," ","2012-01-17 04:34:23","USA",0,0,0,0,0
"12591","W5QT","",145.39,"-",-0.6,192.8,0,"","",-97.848333,33.558889,"Bowie","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12787","KB5ATE","",146.86,"-",-0.6,192.8,0,"","",-98.195,33.817222,"Henrietta","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5521","K5REJ","",444.725,"+",5,192.8,0,"","",-98.195,33.817222,"Henrietta","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5522","KA5WLR","",444.85,"+",5,192.8,0,"","",-98.195,33.817222,"Henrietta","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12785","K5REL","",146.68,"-",-0.6,192.8,0,"","",-98.195,33.817222,"Henrietta","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12786","KA5WLR","",146.8,"-",-0.6,192.8,0,"","",-98.195,33.817222,"Henrietta","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12788","K5REJ","",147.32,"+",0.6,192.8,0,"","",-98.195,33.817222,"Henrietta","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12611","KD5GZW","",146.82,"-",-0.6,192.8,0,"","",-98.190278,34.068056,"Byers","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12544","W5GPO","",146.84,"-",-0.6,192.8,0,"","",-98.625278,33.595556,"Archer City","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"13103","WX5TWS","",145.15,"-",-0.6,0,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5837","N5LEZ","",444.975,"+",5,192.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5836","N5AAJ","",444.95,"+",5,192.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5835","W5GPO","",444.8,"+",5,192.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5834","K5HRO","",444.775,"+",5,173.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5833","KD5INN","",444.75,"+",5,192.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5832","N5AAJ","",444.675,"+",5,192.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5831","WX5TWS","",444.525,"+",5,0,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5830","K5WFT","",444.325,"+",5,192.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5829","WB5ALR","",444.2,"+",5,0,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5828","N5WF","",444,"+",5,192.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5827","W5DAD","",442.525,"+",5,0,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"13104","WB2NQV","",145.27,"-",-0.6,192.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"13105","KD5INN","",146.62,"-",-0.6,156.7,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"13106","K5WFT","",146.66,"-",-0.6,192.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"13107","W5US","",146.94,"-",-0.6,192.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"13108","W5GPO","",147.06,"+",0.6,156.7,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"13109","N5LEZ","",147.12,"+",0.6,192.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"13110","N5WF","",147.14,"+",0.6,192.8,0,"","",-98.493056,33.913611,"Wichita Falls","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5344","W5XBK","",444.025,"+",5,192.8,0,"","",-98.570278,34.097778,"Burkburnett","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12608","W5XBK","",146.88,"-",-0.6,192.8,0,"","",-98.570278,34.097778,"Burkburnett","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"12607","W5DAD","",146.7,"-",-0.6,192.8,0,"","",-98.570278,34.097778,"Burkburnett","TX","",30,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"5345","W5DAD","",444.5,"+",5,192.8,0,"","",-98.570278,34.097778,"Burkburnett","TX","",20,"",""," ","2009-12-27 15:57:23","USA",0,0,0,0,0
"15928","WX5LAW","",444.075,"+",5,123,0,"","",-98.4929895401,34.7367458073,"Medicine Park","OK","",55,"",""," ","2010-01-01 22:58:09","USA",1870,8,1870,8,70
